stock_locate,tracking_number,timestamp,shares,cross_price,match_number,cross_type
8906,3,0 days 09:30:00.637368824,1993,80500,120742,0
4922,1,0 days 09:30:00.637665715,0,0,120841,0
6445,2,0 days 09:30:00.638070607,1287,70200,120993,0
1055,1,0 days 09:30:00.638373348,0,0,121081,0
8211,1,0 days 09:30:00.638615163,0,0,121180,0
6464,1,0 days 09:30:00.638888361,0,0,121295,0
1743,1,0 days 09:30:00.639118203,133,131400,121391,0
5319,1,0 days 09:30:00.639392358,0,0,121503,0
1997,1,0 days 09:30:00.639714556,0,0,121587,0
5273,1,0 days 09:30:00.640061251,105,153600,121726,0
533,1,0 days 09:30:00.640373175,0,0,121838,0
7160,1,0 days 09:30:00.640660294,0,0,121929,0
3867,1,0 days 09:30:00.640881591,0,0,122051,0
5416,1,0 days 09:30:00.641187765,1162,278000,122180,0
6721,3,0 days 09:30:00.641735743,3767,407200,122428,0
2686,3,0 days 09:30:00.642249653,694,699100,122566,0
1186,1,0 days 09:30:00.642726739,720,108000,122770,0
8340,1,0 days 09:30:00.643029564,0,0,122895,0
6897,1,0 days 09:30:00.643307984,0,0,123046,0
6203,1,0 days 09:30:00.643637062,4858,310600,123198,0
1807,1,0 days 09:30:00.643931090,0,0,123337,0
1355,1,0 days 09:30:00.644186911,0,0,123461,0
1409,1,0 days 09:30:00.644472981,0,0,123621,0
6920,1,0 days 09:30:00.644781176,0,0,123800,0
1499,1,0 days 09:30:00.645003929,0,0,123906,0
8008,1,0 days 09:30:00.645278445,0,0,124035,0
3093,1,0 days 09:30:00.645548184,0,0,124146,0
3,1,0 days 09:30:00.645770956,0,0,124238,0
6734,1,0 days 09:30:00.645995661,0,0,124377,0
4243,1,0 days 09:30:00.646221957,0,0,124480,0
6237,1,0 days 09:30:00.646480026,0,0,124591,0
5230,1,0 days 09:30:00.646764173,0,0,124727,0
1146,1,0 days 09:30:00.647010308,0,0,124830,0
3507,1,0 days 09:30:00.647202596,0,0,124921,0
3764,1,0 days 09:30:00.647398468,0,0,125059,0
587,1,0 days 09:30:00.647660125,0,0,125195,0
3560,1,0 days 09:30:00.647907502,0,0,125334,0
3708,1,0 days 09:30:00.648095097,0,0,125413,0
2102,1,0 days 09:30:00.648352645,9,455500,125559,0
6047,1,0 days 09:30:00.648557822,0,0,125642,0
2090,1,0 days 09:30:00.648780435,0,0,125750,0
1561,1,0 days 09:30:00.648978087,0,0,125884,0
4180,1,0 days 09:30:00.649193529,0,0,126005,0
4184,1,0 days 09:30:00.654462364,153852,599900,128973,0
6601,1,0 days 09:30:00.657554972,1763,435100,129161,0
4378,5,0 days 09:30:00.660829891,116874,360000,130624,0
2150,1,0 days 09:30:00.662306195,0,0,130730,0
4544,1,0 days 09:30:00.662922407,0,0,131108,0
4349,1,0 days 09:30:00.663545806,2237,769600,131363,0
7118,1,0 days 09:30:00.665251329,26002,253700,131906,0
1984,1,0 days 09:30:00.666293721,0,0,132001,0
6125,1,0 days 09:30:00.667267642,0,0,132147,0
6853,1,0 days 09:30:00.668036746,0,0,132428,0
284,1,0 days 09:30:00.668523880,0,0,132667,0
6287,2,0 days 09:30:00.668967038,960,321500,132893,0
4247,1,0 days 09:30:00.669476734,1940,659200,133178,0
2119,1,0 days 09:30:00.669925906,76,26100,133345,0
7293,1,0 days 09:30:00.670226030,0,0,133440,0
3264,1,0 days 09:30:00.670485037,0,0,133548,0
102,1,0 days 09:30:00.671022796,4929,291800,133828,0
8030,3,0 days 09:30:00.671501642,726,466900,134019,0
6817,1,0 days 09:30:00.671873809,299,1591100,134176,0
2247,1,0 days 09:30:00.672162851,0,0,134264,0
3020,2,0 days 09:30:00.672446407,17,302700,134432,0
5001,1,0 days 09:30:00.672798707,171,483100,134651,0
5512,1,0 days 09:30:00.673071982,0,0,134782,0
8627,1,0 days 09:30:00.673364201,0,0,134981,0
44,1,0 days 09:30:00.673726632,0,0,135206,0
3241,1,0 days 09:30:00.674042891,10,291400,135402,0
7734,1,0 days 09:30:00.674385560,0,0,135576,0
5685,1,0 days 09:30:00.674709029,0,0,135715,0
6934,1,0 days 09:30:00.674982205,0,0,135821,0
7628,1,0 days 09:30:00.675292993,0,0,135948,0
5505,1,0 days 09:30:00.675704085,3032,218900,136127,0
7229,2,0 days 09:30:00.676129366,914,14800,136245,0
3512,1,0 days 09:30:00.676647278,1128,84500,136424,0
2644,1,0 days 09:30:00.677018751,0,0,136542,0
2452,1,0 days 09:30:00.677326455,200,92700,136691,0
6023,1,0 days 09:30:00.677726799,3971,42000,136879,0
6485,1,0 days 09:30:00.678114661,0,0,137035,0
7915,1,0 days 09:30:00.678415969,0,0,137172,0
6111,1,0 days 09:30:00.678682876,0,0,137368,0
4025,1,0 days 09:30:00.678952579,0,0,137549,0
8138,1,0 days 09:30:00.679201021,0,0,137715,0
953,1,0 days 09:30:00.679446165,0,0,137893,0
27,1,0 days 09:30:00.679752258,0,0,138108,0
626,2,0 days 09:30:00.680154900,3336,11500,138382,0
5178,2,0 days 09:30:00.680743515,12030,40300,138704,0
4136,3,0 days 09:30:00.681189454,2402,119800,138900,0
3380,1,0 days 09:30:00.681448405,0,0,139019,0
4255,1,0 days 09:30:00.681969236,11718,77900,139424,0
266,1,0 days 09:30:00.682755914,39824,13800,139913,0
3012,1,0 days 09:30:00.683128869,0,0,140048,0
6265,1,0 days 09:30:00.683343448,0,0,140158,0
8,1,0 days 09:30:00.683593504,10,19000,140262,0
6935,1,0 days 09:30:00.683800835,0,0,140382,0
3677,1,0 days 09:30:00.684076593,153,55000,140550,0
8189,1,0 days 09:30:00.684351540,0,0,140673,0
5497,2,0 days 09:30:00.691282418,34349,3290800,145190,0
4547,1,0 days 09:30:00.694792244,0,0,145292,0
5208,1,0 days 09:30:00.695806944,5724,204700,145803,0
6908,1,0 days 09:30:00.696385652,0,0,146022,0
3244,1,0 days 09:30:00.696775438,0,0,146240,0
3609,2,0 days 09:30:00.697271234,1573,105400,146508,0
1317,1,0 days 09:30:00.697667894,0,0,146619,0
5790,1,0 days 09:30:00.697978132,0,0,146722,0
1514,1,0 days 09:30:00.698339395,839,18100,146921,0
1584,1,0 days 09:30:00.698978133,16725,38200,147308,0
661,2,0 days 09:30:00.699536023,5258,269400,147463,0
5190,2,0 days 09:30:00.699871116,10,101000,147597,0
5084,2,0 days 09:30:00.700260436,2920,107200,147768,0
6064,1,0 days 09:30:00.700750983,4737,256700,147947,0
5430,1,0 days 09:30:00.701091019,0,0,148040,0
2605,1,0 days 09:30:00.701331125,0,0,148164,0
2635,1,0 days 09:30:00.701584714,7,40200,148321,0
2035,1,0 days 09:30:00.701783,0,0,148425,0
4662,1,0 days 09:30:00.702004538,0,0,148553,0
6859,1,0 days 09:30:00.702309118,198,26300,148720,0
5029,1,0 days 09:30:00.702621512,0,0,148887,0
3857,1,0 days 09:30:00.702869512,0,0,149083,0
8474,2,0 days 09:30:00.703654413,9151,14000,149595,0
6075,1,0 days 09:30:00.704067686,0,0,149644,0
382,2,0 days 09:30:00.704440296,987,151800,149885,0
38,1,0 days 09:30:00.704727952,0,0,150006,0
979,3,0 days 09:30:00.705170818,3509,598200,150242,0
5970,1,0 days 09:30:00.705472852,0,0,150357,0
2469,1,0 days 09:30:00.705727635,0,0,150494,0
1745,1,0 days 09:30:00.705963618,0,0,150647,0
6842,1,0 days 09:30:00.706181517,0,0,150791,0
4954,5,0 days 09:30:00.706592815,8905,5140,151082,0
5558,1,0 days 09:30:00.706867111,0,0,151159,0
2531,1,0 days 09:30:00.707154223,0,0,151341,0
2765,1,0 days 09:30:00.707464888,0,0,151534,0
5193,3,0 days 09:30:00.707795055,1744,24300,151691,0
3382,1,0 days 09:30:00.708001600,0,0,151791,0
8446,1,0 days 09:30:00.708320679,1200,159600,151958,0
4768,1,0 days 09:30:00.708702253,404,1918200,152124,0
1829,2,0 days 09:30:00.709194679,18805,126600,152317,0
8495,1,0 days 09:30:00.709594222,592,1118300,152431,0
8860,1,0 days 09:30:00.709892319,0,0,152539,0
140,1,0 days 09:30:00.710224424,405,8300,152713,0
5042,1,0 days 09:30:00.710486191,0,0,152785,0
6990,1,0 days 09:30:00.710741731,0,0,152910,0
8282,1,0 days 09:30:00.711010116,101,289200,153061,0
5632,1,0 days 09:30:00.711252627,0,0,153185,0
7584,1,0 days 09:30:00.711556952,0,0,153355,0
2022,1,0 days 09:30:00.712009600,1468,546100,153646,0
187,3,0 days 09:30:00.712407926,2374,254800,153859,0
1577,1,0 days 09:30:00.712779768,375,257000,154045,0
8014,1,0 days 09:30:00.713067704,0,0,154148,0
6504,1,0 days 09:30:00.713326923,0,0,154287,0
407,1,0 days 09:30:00.713691885,1634,160000,154464,0
1391,1,0 days 09:30:00.713965052,0,0,154563,0
6887,1,0 days 09:30:00.714206767,0,0,154684,0
4443,1,0 days 09:30:00.714423721,0,0,154794,0
3781,1,0 days 09:30:00.714661260,0,0,154916,0
8580,1,0 days 09:30:00.714858531,0,0,155026,0
193,1,0 days 09:30:00.715079359,0,0,155152,0
7660,1,0 days 09:30:00.715329893,0,0,155280,0
3245,2,0 days 09:30:00.715886658,6085,794700,155600,0
3481,1,0 days 09:30:00.716266296,0,0,155706,0
604,2,0 days 09:30:00.716548571,110,537000,155870,0
1879,3,0 days 09:30:00.716859946,5064,11300,156043,0
3986,1,0 days 09:30:00.717148511,0,0,156154,0
4279,1,0 days 09:30:00.717366591,7,124200,156245,0
3117,1,0 days 09:30:00.717574846,0,0,156370,0
1911,1,0 days 09:30:00.717771902,0,0,156481,0
4839,1,0 days 09:30:00.718066710,0,0,156615,0
441,1,0 days 09:30:00.718347401,339,261400,156759,0
6227,1,0 days 09:30:00.718824603,11409,159400,156986,0
2328,1,0 days 09:30:00.719165111,0,0,157100,0
882,1,0 days 09:30:00.719400207,0,0,157219,0
155,1,0 days 09:30:00.719625303,0,0,157330,0
2284,1,0 days 09:30:00.719903758,0,0,157499,0
2093,1,0 days 09:30:00.720188849,0,0,157620,0
6295,1,0 days 09:30:00.720423651,20,926300,157754,0
7845,1,0 days 09:30:00.720634205,0,0,157860,0
336,1,0 days 09:30:00.720846344,0,0,157998,0
8322,1,0 days 09:30:00.721138303,0,0,158165,0
8207,1,0 days 09:30:00.721369012,0,0,158272,0
4632,2,0 days 09:30:00.721818174,4083,739600,158500,0
8247,1,0 days 09:30:00.722108776,0,0,158602,0
1006,2,0 days 09:30:00.722148205,3,264000,158619,0
282,2,0 days 09:30:00.722367061,2272,176600,158758,0
599,1,0 days 09:30:00.722390178,0,0,158776,0
5383,1,0 days 09:30:00.722490017,7,12300,158779,0
4312,1,0 days 09:30:00.722575458,0,0,158812,0
2824,1,0 days 09:30:00.722634457,0,0,158813,0
6891,1,0 days 09:30:00.722637673,0,0,158814,0
8051,1,0 days 09:30:00.723006550,22009,1282000,159025,0
7990,1,0 days 09:30:00.723068512,3790,257900,159041,0
166,1,0 days 09:30:00.723309703,0,0,159046,0
8694,1,0 days 09:30:00.723480240,0,0,159047,0
5820,1,0 days 09:30:00.723536333,0,0,159048,0
7009,1,0 days 09:30:00.723571929,0,0,159049,0
6643,1,0 days 09:30:00.723637631,0,0,159065,0
4059,1,0 days 09:30:00.723714753,0,0,159081,0
8162,1,0 days 09:30:00.723719688,0,0,159082,0
8507,1,0 days 09:30:00.723787832,0,0,159083,0
6301,1,0 days 09:30:00.723839556,0,0,159084,0
8559,1,0 days 09:30:00.723878809,0,0,159085,0
1385,2,0 days 09:30:00.723967658,712,8700,159088,0
6139,1,0 days 09:30:00.724049086,0,0,159111,0
6820,1,0 days 09:30:00.724098605,0,0,159122,0
5181,1,0 days 09:30:00.724130837,0,0,159123,0
1124,2,0 days 09:30:00.724187408,15,97200,159125,0
4274,1,0 days 09:30:00.724238553,0,0,159128,0
180,1,0 days 09:30:00.724277106,0,0,159139,0
4096,1,0 days 09:30:00.724335637,0,0,159162,0
8268,1,0 days 09:30:00.724419800,0,0,159166,0
1313,1,0 days 09:30:00.724445561,400,97300,159172,0
6476,1,0 days 09:30:00.724485844,0,0,159175,0
1088,1,0 days 09:30:00.724558832,76,292200,159201,0
1261,1,0 days 09:30:00.724636671,0,0,159224,0
111,1,0 days 09:30:00.724703327,0,0,159235,0
7299,1,0 days 09:30:00.724744271,0,0,159236,0
6012,1,0 days 09:30:00.724747390,0,0,159237,0
5167,1,0 days 09:30:00.724777800,0,0,159258,0
7645,1,0 days 09:30:00.724825282,0,0,159280,0
6160,1,0 days 09:30:00.724888552,0,0,159290,0
1896,1,0 days 09:30:00.724939022,0,0,159321,0
5816,1,0 days 09:30:00.724996105,0,0,159335,0
5674,2,0 days 09:30:00.725028345,436,249900,159354,0
8515,1,0 days 09:30:00.725092796,0,0,159387,0
94,1,0 days 09:30:00.725148640,0,0,159418,0
6932,1,0 days 09:30:00.725191839,0,0,159432,0
3700,1,0 days 09:30:00.725234472,0,0,159450,0
3948,1,0 days 09:30:00.725319699,0,0,159480,0
8481,1,0 days 09:30:00.725342667,586,1469200,159491,0
8176,1,0 days 09:30:00.725387726,10,226000,159500,0
4727,1,0 days 09:30:00.725457817,0,0,159527,0
3311,1,0 days 09:30:00.725526017,0,0,159536,0
7887,1,0 days 09:30:00.725585962,0,0,159559,0
